Date,Start Value,Highest Value,Lowest Value,End Value,EMA12,EMA26,MACD,Signal,Judge,Trade,Turning Value,Differ,Resistance Value,Chart Flag,
2007-04-02,0.7144,0.7224,0.7224,0.7133,0.7133,0.7215,0.7215,0,0,0,0,0,0,0,0,0,0,Short,0.7248,0.7248,0.0033,0.0033,0,0,
2007-04-03,0.7213,0.7242,0.0018,0.7190,0.0057,0.7194,-0.0021,0.7239,0.7239,0.7234,0.7234,0.0005,0.0005,0.0007,0.0007,-0.0002,-0.0002,Short,0.7271,0.0023,0.0077,0.0044,0.7237,0,
2007-04-04,0.7192,0.7226,-0.0016,0.7168,-0.0022,0.7212,0.0018,0.7235,-0.0004,0.7233,-0.0002,0.0002,-0.0002,0.0006,-0.0001,-0.0004,-0.0004,Short,0.7284,0.0013,0.0072,-0.0005,0.7234,0,
2007-04-05,0.7213,0.7253,0.0027,0.7197,0.0029,0.7240,0.0028,0.7236,0.0001,0.7233,0.0001,0.0002,0.0000,0.0005,-0.0001,-0.0003,-0.0003,Short,0.7273,-0.0011,0.0033,-0.0039,0.7234,0,
2007-04-06,0.7243,0.7243,-0.0010,0.7200,0.0003,0.7205,-0.0035,0.7231,-0.0005,0.7231,-0.0002,-0.0000,-0.0003,0.0004,-0.0001,-0.0004,-0.0004,Short,0.7285,0.0012,0.0080,0.0047,0.7231,0,
2007-04-09,0.7218,0.7239,-0.0004,0.7190,-0.0010,0.7204,-0.0001,0.7227,-0.0004,0.7229,-0.0002,-0.0002,-0.0002,0.0003,-0.0001,-0.0005,-0.0005,Short,0.7290,0.0005,0.0086,0.0006,0.7228,0,
2007-04-10,0.7204,0.7313,0.0074,0.7191,0.0001,0.7304,0.0100,0.7239,0.0012,0.7235,0.0006,0.0004,0.0006,0.0003,0.0000,0.0001,0.0001,Long,0.7230,-0.0060,0.0074,-0.0012,0.7237,0,
2007-04-11,0.7303,0.7310,-0.0003,0.7261,0.0070,0.7279,-0.0025,0.7245,0.0006,0.7238,0.0003,0.0007,0.0003,0.0004,0.0001,0.0003,0.0003,Long,0.7212,-0.0018,0.0067,-0.0007,0.7241,0,
2007-04-12,0.7279,0.7301,-0.0009,0.7254,-0.0007,0.7298,0.0019,0.7253,0.0008,0.7242,0.0004,0.0011,0.0004,0.0005,0.0001,0.0005,0.0005,Long,0.7194,-0.0018,0.0104,0.0037,0,0,
2007-04-13,0.7298,0.7385,0.0084,0.7298,0.0044,0.7375,0.0077,0.7272,0.0019,0.7252,0.0010,0.0020,0.0009,0.0008,0.0003,0.0012,0.0012,Long,0.7145,-0.0049,0.0230,0.0126,0,0,
2007-04-16,0.7377,0.7413,0.0028,0.7377,0.0079,0.7400,0.0025,0.7292,0.0020,0.7263,0.0011,0.0028,0.0009,0.0012,0.0004,0.0016,0.0016,Long,0.7114,-0.0031,0.0286,0.0056,0,0,
2007-04-17,0.7400,0.7456,0.0043,0.7377,0.0000,0.7450,0.0050,0.7316,0.0024,0.7277,0.0014,0.0039,0.0011,0.0017,0.0005,0.0021,0.0021,Long,0.7083,-0.0031,0.0367,0.0081,0,0,
2007-04-18,0.7454,0.7493,0.0037,0.7384,0.0007,0.7484,0.0034,0.7342,0.0026,0.7292,0.0015,0.0049,0.0011,0.0024,0.0006,0.0026,0.0026,Long,0.7066,-0.0017,0.0418,0.0051,0,0,
2007-04-19,0.7484,0.7484,-0.0009,0.7366,-0.0018,0.7440,-0.0044,0.7357,0.0015,0.7303,0.0011,0.0054,0.0004,0.0030,0.0006,0.0024,0.0024,Long,0.7108,0.0042,0.0332,-0.0086,0,0,
2007-04-20,0.7439,0.7484,0.0000,0.7425,0.0059,0.7478,0.0038,0.7376,0.0019,0.7316,0.0013,0.0059,0.0006,0.0036,0.0006,0.0024,0.0024,Long,0.7134,0.0026,0.0344,0.0012,0,0,
2007-04-23,0.7483,0.7486,0.0002,0.7429,0.0004,0.7448,-0.0030,0.7387,0.0011,0.7326,0.0010,0.0061,0.0001,0.0041,0.0005,0.0020,0.0020,Long,0.7192,0.0058,0.0256,-0.0088,0,0,
2007-04-24,0.7447,0.7464,-0.0022,0.7388,-0.0041,0.7431,-0.0017,0.7393,0.0007,0.7334,0.0008,0.0060,-0.0001,0.0044,0.0004,0.0015,0.0015,Long,0.7257,0.0065,0.0174,-0.0082,0,0,
2007-04-25,0.7428,0.7473,0.0009,0.7426,0.0038,0.7449,0.0018,0.7402,0.0009,0.7342,0.0009,0.0060,0.0000,0.0048,0.0003,0.0012,0.0012,Long,0.7304,0.0047,0.0145,-0.0029,0,0,
2007-04-26,0.7452,0.7489,0.0016,0.7370,-0.0056,0.7395,-0.0054,0.7401,-0.0001,0.7346,0.0004,0.0055,-0.0005,0.0049,0.0001,0.0006,0.0006,Long,0.7379,0.0075,0.0016,-0.0129,0,0,
2007-04-27,0.7395,0.7446,-0.0043,0.7354,-0.0016,0.7420,0.0025,0.7404,0.0003,0.7352,0.0005,0.0052,-0.0003,0.0050,0.0001,0.0003,0.0003,Long,0.7419,0.0040,0.0001,-0.0015,0,0,
2007-04-30,0.7420,0.7434,-0.0012,0.7372,0.0018,0.7405,-0.0015,0.7404,0.0000,0.7356,0.0004,0.0048,-0.0004,0.0049,-0.0000,-0.0001,-0.0001,Short,0.7461,0.0042,0.0056,0.0055,0,0,
2007-05-01,0.7405,0.7446,0.0012,0.7391,0.0019,0.7407,0.0002,0.7405,0.0000,0.7359,0.0004,0.0045,-0.0003,0.0049,-0.0001,-0.0003,-0.0003,Short,0.7490,0.0029,0.0083,0.0027,0,0,
2007-05-02,0.7408,0.7411,-0.0035,0.7364,-0.0027,0.7376,-0.0031,0.7400,-0.0004,0.7361,0.0001,0.0039,-0.0006,0.0047,-0.0002,-0.0007,-0.0007,Short,0.7528,0.0038,0.0152,0.0069,0,0,
